date,global_production_tonnes,global_demand_tonnes,price_index,shortage_severity_0_1,supply_risk_score_0_1,recycling_rate_0_1,substitution_feasibility_0_1,cooling_load_sensitivity,geopolitical_risk_index,logistics_disruption_index,new_production_capacity_tonnes
2020-01-31,27500,27800,102.5,0.12,0.23,0.12,0.09,0.95,0.32,0.18,2500
2020-02-29,27600,27950,103.2,0.13,0.24,0.12,0.09,0.96,0.33,0.19,2600
2020-03-31,27700,28100,104.1,0.14,0.25,0.13,0.10,0.96,0.34,0.20,2700
2020-04-30,27550,28200,105.5,0.15,0.26,0.13,0.10,0.97,0.35,0.21,2800
2020-05-31,27400,28350,107.2,0.17,0.27,0.13,0.11,0.97,0.36,0.22,2900
2020-06-30,27300,28500,109.0,0.19,0.28,0.14,0.11,0.98,0.37,0.23,3000
2020-07-31,27250,28650,110.5,0.21,0.29,0.14,0.12,0.98,0.38,0.24,3100
2020-08-31,27200,28800,112.0,0.23,0.30,0.14,0.12,0.99,0.39,0.25,3200
2020-09-30,27350,28950,113.5,0.24,0.31,0.15,0.13,0.99,0.40,0.26,3300
2020-10-31,27500,29100,115.0,0.25,0.32,0.15,0.13,1.00,0.41,0.27,3400
2020-11-30,27650,29250,116.5,0.26,0.33,0.15,0.14,1.00,0.42,0.28,3500
2020-12-31,27800,29400,118.0,0.27,0.34,0.16,0.14,1.01,0.43,0.29,3600
2021-01-31,27950,29550,119.5,0.28,0.35,0.16,0.15,1.01,0.44,0.30,3700
2021-02-28,28100,29700,121.0,0.29,0.36,0.16,0.15,1.02,0.45,0.31,3800
2021-03-31,28250,29850,122.5,0.30,0.37,0.17,0.16,1.02,0.46,0.32,3900
2021-04-30,28400,30000,124.0,0.31,0.38,0.17,0.16,1.03,0.47,0.33,4000
2021-05-31,28550,30150,125.5,0.32,0.39,0.17,0.17,1.03,0.48,0.34,4100
2021-06-30,28700,30300,127.0,0.33,0.40,0.18,0.17,1.04,0.49,0.35,4200
2021-07-31,28850,30450,128.5,0.34,0.41,0.18,0.18,1.04,0.50,0.36,4300
2021-08-31,29000,30600,130.0,0.35,0.42,0.18,0.18,1.05,0.51,0.37,4400
2021-09-30,29150,30750,131.5,0.36,0.43,0.19,0.19,1.05,0.52,0.38,4500
2021-10-31,29300,30900,133.0,0.37,0.44,0.19,0.19,1.06,0.53,0.39,4600
2021-11-30,29450,31050,134.5,0.38,0.45,0.19,0.20,1.06,0.54,0.40,4700
2021-12-31,29600,31200,136.0,0.39,0.46,0.20,0.20,1.07,0.55,0.41,4800
2022-01-31,29750,31350,137.5,0.40,0.47,0.20,0.21,1.07,0.56,0.42,4900
2022-02-28,29900,31500,139.0,0.41,0.48,0.20,0.21,1.08,0.57,0.43,5000
2022-03-31,30050,31650,140.5,0.42,0.49,0.21,0.22,1.08,0.58,0.44,5100
2022-04-30,30200,31800,142.0,0.43,0.50,0.21,0.22,1.09,0.59,0.45,5200
2022-05-31,30350,31950,143.5,0.44,0.51,0.21,0.23,1.09,0.60,0.46,5300
2022-06-30,30500,32100,145.0,0.45,0.52,0.22,0.23,1.10,0.61,0.47,5400
2022-07-31,30650,32250,146.5,0.46,0.53,0.22,0.24,1.10,0.62,0.48,5500
2022-08-31,30800,32400,148.0,0.47,0.54,0.22,0.24,1.11,0.63,0.49,5600
2022-09-30,30950,32550,149.5,0.48,0.55,0.23,0.25,1.11,0.64,0.50,5700
2022-10-31,31100,32700,151.0,0.49,0.56,0.23,0.25,1.12,0.65,0.51,5800
2022-11-30,31250,32850,152.5,0.50,0.57,0.23,0.26,1.12,0.66,0.52,5900
2022-12-31,31400,33000,154.0,0.51,0.58,0.24,0.26,1.13,0.67,0.53,6000
2023-01-31,31550,33150,155.5,0.52,0.59,0.24,0.27,1.13,0.68,0.54,6100
2023-02-28,31700,33300,157.0,0.53,0.60,0.24,0.27,1.14,0.69,0.55,6200
2023-03-31,31850,33450,158.5,0.54,0.61,0.25,0.28,1.14,0.70,0.56,6300
2023-04-30,32000,33600,160.0,0.55,0.62,0.25,0.28,1.15,0.71,0.57,6400
2023-05-31,32150,33750,161.5,0.56,0.63,0.25,0.29,1.15,0.72,0.58,6500
2023-06-30,32300,33900,163.0,0.57,0.64,0.26,0.29,1.16,0.73,0.59,6600
2023-07-31,32450,34050,164.5,0.58,0.65,0.26,0.30,1.16,0.74,0.60,6700
2023-08-31,32600,34200,166.0,0.59,0.66,0.26,0.30,1.17,0.75,0.61,6800
2023-09-30,32750,34350,167.5,0.60,0.67,0.27,0.31,1.17,0.76,0.62,6900
2023-10-31,32900,34500,169.0,0.61,0.68,0.27,0.31,1.18,0.77,0.63,7000
2023-11-30,33050,34650,170.5,0.62,0.69,0.27,0.32,1.18,0.78,0.64,7100
2023-12-31,33200,34800,172.0,0.63,0.70,0.28,0.32,1.19,0.79,0.65,7200
